,Name1,Name2,Name3,BIC,s1_ls,s2_ls,pk_ls,pk_pr
0,RBF,Per_Arb,RBF,<built-in method item of Tensor object at 0x000002620AB17F40>,2.9773690700531006,0.08382031321525574,5.959147529210895e-05,0.25349345803260803
1,RBF,Per_Week,RBF,<built-in method item of Tensor object at 0x000002620AA60950>,0.0003126176306977868,2.127746820449829,3.0067193508148193,0.002097814343869686
2,RBF,Per_Month,RBF,<built-in method item of Tensor object at 0x0000026200044590>,0.00029413806623779237,0.245249941945076,2.5144646167755127,0.00781290978193283
3,RBF,Per_Arb,Mat0.5,<built-in method item of Tensor object at 0x00000262000A2A40>,1.2749303579330444,0.03340793401002884,1.459486961364746,1.4737838506698608
4,RBF,Per_Week,Mat0.5,<built-in method item of Tensor object at 0x0000026200107B80>,1.5185102224349976,0.018144924193620682,5.746224880218506,0.0021244108211249113
5,RBF,Per_Month,Mat0.5,<built-in method item of Tensor object at 0x0000026200165D10>,2.1596312522888184,0.006841578986495733,0.0718088299036026,0.007230073679238558
6,RBF,Per_Arb,Mat1.5,<built-in method item of Tensor object at 0x000002620C0BD9F0>,1.7845399379730225,0.010078308172523975,0.022153228521347046,0.02224591374397278
7,RBF,Per_Week,Mat1.5,<built-in method item of Tensor object at 0x000002620C119E50>,1.535280704498291,0.010313518345355988,1.138342022895813,0.003204736625775695
8,RBF,Per_Month,Mat1.5,<built-in method item of Tensor object at 0x00000262107CF900>,2.511199712753296,0.010725007392466068,0.030390338972210884,0.010856010019779205
9,RBF,Per_Arb,Mat2.5,<built-in method item of Tensor object at 0x000002621082DC70>,3.5942766666412354,0.03052818402647972,0.0004988844157196581,0.08216605335474014
10,RBF,Per_Week,Mat2.5,<built-in method item of Tensor object at 0x00000262178D5900>,1.8319926261901855,0.028957048431038857,4.666404724121094,0.001697353320196271
11,RBF,Per_Month,Mat2.5,<built-in method item of Tensor object at 0x0000026217C31D10>,1.6438554525375366,0.025493640452623367,0.04983711242675781,0.01101128850132227
12,Mat0.5,Per_Arb,RBF,<built-in method item of Tensor object at 0x000002621D5EC590>,0.03287288919091225,1.094792127609253,1.3464034795761108,1.341685175895691
13,Mat0.5,Per_Week,RBF,<built-in method item of Tensor object at 0x0000026226795EF0>,0.033324386924505234,2.1081204414367676,3.1694178581237793,0.0023929309099912643
14,Mat0.5,Per_Month,RBF,<built-in method item of Tensor object at 0x00000262267FF630>,0.035078465938568115,0.8830224275588989,1.9573174715042114,0.009232659824192524
15,Mat0.5,Per_Arb,Mat0.5,<built-in method item of Tensor object at 0x000002622F869C70>,0.05716454237699509,0.08028865605592728,1.470689296722412,1.4477163553237915
16,Mat0.5,Per_Week,Mat0.5,<built-in method item of Tensor object at 0x00000262311C3680>,0.03294843062758446,2.232255458831787,3.0734121799468994,0.0017069224268198013
17,Mat0.5,Per_Month,Mat0.5,<built-in method item of Tensor object at 0x0000026237202B30>,0.5710081458091736,0.021099913865327835,0.16897214949131012,0.006920697633177042
18,Mat0.5,Per_Arb,Mat1.5,<built-in method item of Tensor object at 0x000002623726A540>,0.03479842469096184,0.6246463060379028,1.3778743743896484,1.3567453622817993
19,Mat0.5,Per_Week,Mat1.5,<built-in method item of Tensor object at 0x00000262372C79A0>,0.034367162734270096,0.7334071397781372,2.7245423793792725,0.00216720555908978
20,Mat0.5,Per_Month,Mat1.5,<built-in method item of Tensor object at 0x000002623F63DC20>,0.20367608964443207,0.011801140382885933,0.1517312079668045,0.007259644567966461
21,Mat0.5,Per_Arb,Mat2.5,<built-in method item of Tensor object at 0x000002623FA30EF0>,0.0359329879283905,0.6466938257217407,1.389005422592163,1.381043791770935
22,Mat0.5,Per_Week,Mat2.5,<built-in method item of Tensor object at 0x000002623FA92C20>,0.03350769728422165,1.1571893692016602,2.654120445251465,0.0022969997953623533
23,Mat0.5,Per_Month,Mat2.5,<built-in method item of Tensor object at 0x000002624D092EF0>,0.04830705374479294,0.026978332549333572,0.12771126627922058,0.010235676541924477
24,Mat1.5,Per_Arb,RBF,<built-in method item of Tensor object at 0x000002624D0F7A90>,0.010088004171848297,1.3092296123504639,1.2128304243087769,0.7081006765365601
25,Mat1.5,Per_Week,RBF,<built-in method item of Tensor object at 0x0000026257F36DB0>,0.010073425248265266,2.0275752544403076,3.422649621963501,0.0016675983788445592
26,Mat1.5,Per_Month,RBF,<built-in method item of Tensor object at 0x0000026257F9D680>,0.010208440013229847,0.00405343109741807,0.09728366136550903,0.008322086185216904
27,Mat1.5,Per_Arb,Mat0.5,<built-in method item of Tensor object at 0x0000026283408D10>,0.7475483417510986,0.026029523462057114,1.5572975873947144,1.5448921918869019
28,Mat1.5,Per_Week,Mat0.5,<built-in method item of Tensor object at 0x00000262929A1A40>,0.686345100402832,0.02139393985271454,6.001860618591309,0.0021329440642148256
29,Mat1.5,Per_Month,Mat0.5,<built-in method item of Tensor object at 0x00000262929FDC70>,0.5728716850280762,0.006814309861510992,0.06767155230045319,0.007203677669167519
30,Mat1.5,Per_Arb,Mat1.5,<built-in method item of Tensor object at 0x0000026292A69400>,0.010046472772955894,0.36322614550590515,1.212254285812378,1.2277649641036987
31,Mat1.5,Per_Week,Mat1.5,<built-in method item of Tensor object at 0x0000026292AC3E50>,0.01013675145804882,0.01093033142387867,2.9625282287597656,0.0021750929299741983
32,Mat1.5,Per_Month,Mat1.5,<built-in method item of Tensor object at 0x0000026292B2C9A0>,0.014833941124379635,0.010869578458368778,0.07086620479822159,0.008139495737850666
33,Mat1.5,Per_Arb,Mat2.5,<built-in method item of Tensor object at 0x0000026292B89E50>,0.010075687430799007,0.6972755789756775,1.448525309562683,1.4518390893936157
34,Mat1.5,Per_Week,Mat2.5,<built-in method item of Tensor object at 0x0000026292BF1810>,0.010093159042298794,0.027379024773836136,2.672105073928833,0.0021268439013510942
35,Mat1.5,Per_Month,Mat2.5,<built-in method item of Tensor object at 0x0000026292C4DB80>,0.010541112162172794,0.02546750195324421,0.07731305807828903,0.009812654927372932
36,Mat2.5,Per_Arb,RBF,<built-in method item of Tensor object at 0x0000026292CB6680>,0.025058168917894363,1.1653953790664673,1.355982780456543,1.1069486141204834
37,Mat2.5,Per_Week,RBF,<built-in method item of Tensor object at 0x0000026292D11DB0>,0.025060540065169334,3.566093921661377,2.829113483428955,0.001281466451473534
38,Mat2.5,Per_Month,RBF,<built-in method item of Tensor object at 0x0000026292D795E0>,0.025539137423038483,0.0042960201390087605,0.24930532276630402,0.007127115968614817
39,Mat2.5,Per_Arb,Mat0.5,<built-in method item of Tensor object at 0x0000026292DD6E50>,0.7233567833900452,0.025162581354379654,1.5843366384506226,1.5778193473815918
40,Mat2.5,Per_Week,Mat0.5,<built-in method item of Tensor object at 0x0000026292E3C2C0>,0.6953089833259583,0.020044442266225815,5.892687797546387,0.0021135476417839527
41,Mat2.5,Per_Month,Mat0.5,<built-in method item of Tensor object at 0x0000026292E9CC70>,0.8099329471588135,0.007165901362895966,0.06825491040945053,0.0072322385385632515
42,Mat2.5,Per_Arb,Mat1.5,<built-in method item of Tensor object at 0x0000026292F02630>,1.2666627168655396,0.010072077624499798,0.022579047828912735,0.022319898009300232
43,Mat2.5,Per_Week,Mat1.5,<built-in method item of Tensor object at 0x0000026292F60D10>,0.025099294260144234,1.4139652252197266,3.290126085281372,0.0010442533530294895
44,Mat2.5,Per_Month,Mat1.5,<built-in method item of Tensor object at 0x0000026292FC7630>,0.03126660734415054,0.011274139396846294,0.13382938504219055,0.007235774304717779
45,Mat2.5,Per_Arb,Mat2.5,<built-in method item of Tensor object at 0x0000026293023C70>,3.9512054920196533,0.027853040024638176,0.0006885655457153916,0.06978250294923782
46,Mat2.5,Per_Week,Mat2.5,<built-in method item of Tensor object at 0x000002629308C5E0>,0.025062065571546555,1.2448334693908691,3.367250680923462,0.0009978614980354905
47,Mat2.5,Per_Month,Mat2.5,<built-in method item of Tensor object at 0x00000262930E98B0>,0.025250200182199478,0.02547975815832615,0.19834837317466736,0.007243795320391655
